# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|elevere (fr.), løfte, opdrage; at hæve f. Eks. en Møntsorts Værdi|0099
|Elevskole, den dramatiske, ved det kgl. Teater i Kbhvn oprettedes 1886|0099
|Elevskolen oprettedes 1. Febr 1816, for Underofficerer i Artilleriet|0099-0100
|El Fajum, se Fajum.|0100
|Elfenben er Elefantens Stødtænder|0100
|Elfenbenshvidt, se Elfenben.|0100
|Elfenbenskysten (Cote d'Ivoire), fr. Koloni paa Øvre-Guineas Kyst|0100
|Elfenbensmaage, se Maager.|0100
|Elfenbensmasse, se Elfenben.|0100
|Elfenbensnødder, Corosos-, Corusco-, Sten-, Tagua-Nødder, Vegetabilsk Elfenben, Frøene af forsk. Arter af Elfenbenspalmen, Phytelephas|0100-0103
|Elfenbenspalme, se Phytelephas.|0103
|Elfenbenspapir, der benyttes i Stedet for tynde Elfenbensplader til Miniaturmalerier o. l.|0103
|Elfenbensporcelæn, en Slags Porcelæn, der i Farven og Glansen minder om gulligt Elfenben|0103
|Elfenbensskæreri (hermed l Tavle)|0103
|Elfenbenssort, se Elfenben.|0103
|Elfenbenssurrogat, se Elfenben.|0103
|Elfkarleby (Älvkarleby), Vandfald i Mellemsverige, Upland, Upsala Län, dannes af Dal-Elven|0103
|Elfsborg, se Gøteborg.|0103
|Elfsborg Län (Älvsborgs Län), ogsaa kaldet Vänersborgs Län, i det vestl. Sydsverige, Götaland|0103-0104
|Elfving, Frederik Emil Volmar, finsk Botaniker, (1854- )|0104
|Elg (Alces), se  Hjorte,|0104
|Elgaahogna, 1458 m, og Elgepiggen, 1604 m, 2 af de højeste Toppe paa Fjeldet mellem den sv. Grænse og Nordre Østerdalen|0104
|Elgar, Edward William, eng. Komponist, (1857- )|0104
|Elgenstierna, Gustaf Magnus, sv. Personalhistoriker og Genealog, (1871- )|0104
|Elgepiggen, se Elgaahogna.|0104
|Elger, Thomas Gwyn Empy, eng. Astronom, (1837-1897)|0104
|Elgersburg, lille By med c. 1300 Indb. i Götha i Thüringerwald|0104
|Elgesæter Kloster ved Trondhjem var rimeligvis oprettet al Ærkebiskop Eystein (1157-88)|0104-0105
|El Ghor, se Ghor.|0105
|Elgin, tidligere Moray, Shire i Mellemskotland, S. f. Moray Firth|0105
|Elgin, By i U. S. A., Stat Illinois, ligger 65 km VNV. f. Chicago ved Fox River|0105
|Elgin, James Bruce, Jarl, eng. Statsmand, (1811-1863)|0105
|Elgin, Thomas Bruce, Earl af E. og Kincardine, skotsk Lord, eng Diplomat og Samler af gr. Kunstværker, (1766-1842)|0105-0106
|Elgin Marbles, en enestaaende Samling af noget af det skønneste, der er bevaret af gr. Skulptur til vore Dage|0106
|Elgin Room, se Elgin Marbles.|0106
|El Golea, se Golea.|0106
|Elgström, Ossian Josef David, sv. Maler, (1883- )|0106
|Eli, norsk Kvindenavn, se Ellen.|0106
|Eli var ved Dommertidens Slutning Jahve's Præst ved Templet i Shilo|0106
|Elias, se Elija.|0106
|Elias, Biskop i Ribe (1142-c.1162)|0106
|Elias, Ney, eng. Opdagelsesrejsende (1844-97)|0106
|Elias, Nicolaes, egl. N. Eliasz Pickenoy, holl. Portrætmaler, (1590/1-1653/6)|0106-0107
|Elias-Bjergene, Skt Elias-Alperne, det delvis vulkanske Parti af de nordamer. Kystbjerge mod Stillehavet|0107
|Eliasit, d. s. s. Gummit.|0107
|Elias Levita, jødisk Lærd, (1468-1549)|0107
|Elie de Beaumont, Jean Baptiste Armand Louis Lèonce, fr. Geolog, (1798-1874)|0107
|elidere (lat.), udstøde, udelade; se Elision.|0107
|Eli, Eli, lema sabachtani; »min Gud, min Gud, hvorfor har du forladt mig«, et af Jesu Ord paa Korset|0107
|Eliesen, P., se Helgesen, P.|0107
|Eliezer, hebr. Navn, »min Gud er en Hjælp«, Navn paa fl. Personer i det gl. Test.|0107
|Eliezer ben Hyrkanos, berømt jødisk Lovlærer, c. 100 e. Kr.|0107-0108
|eligerede Mænd eller eligerede Borgere,  de Borgerudvalg, med hvilke Magistraten ell. Byfogden maatte dele sin Myndighed|0108
|Eligius, Hellig, frankisk Guldsmed, Biskop og Missionær, (c.588-658/9)|0108
|Elihu, Navn paa flere Personer i det gamle Test.|0108
|Blija fra Tisbe i Gilead, israel. Profet fra Achab's Tid, omkr. Midten af 9. Aarh. f. Kr.|0108-0109
|Eliksir, tidligere i Farmacien: visse spirituøse ell. vandige Udtræk af vegetabilske Stoffer ell. Opløsninger af Ekstrakter|0109
|Elim, den 2. af Israelitternes Lejrpladser under Udvandringen fra Ægypten|0109
|Elimelek, No'omis Mand, Ruts Svigerfader.|0109
|eliminere, Elimination (lat.), fjerne; (mat.) at e. visse Størrelse af nogle forelagte Ligninger|0109
|Elin, Eline, nord. Kvindenavn; se Ellen.|0109
|Elio, Francesco Javier, sp. General, (1767-1822)|0109
|Elio, Joaquin, karlistisk General, (1803-1876)|0109
|Eliot, Edward Granville, Jarl af St Germans, eng. Statsmand (1798-1877)|0109-0110
|Eliot, George, se Evans, M. A.|0110
|Eliot, John, eng. Statsmand, (1592-1632)|0110
|Eliot, John, »Indianernes Apostel« (1604-90)|0110
|Elipandus, se Adoptianisme.|0110
|Elis, i Oldtiden det nord-vestligste Landskab paa Peloponnes|0110-0111
|Elisa, hebr. ælisha, Søn af Shafat fra Abel Mehola, Jahveprofet i Israel omtr. 850 f. Kr.|0111
|Elisabetgrad, se Jelissavet-Grad.|0111
|Elisabeth, Kvindenavn, Opkaldelse efter Johannes Døber's Moder og efter fl. Helgeninder|0111
|Elisabeth, Præsten Zacharias' Hustru, Johannes Døber's Moder|0111
|Elisabeth, se Port-Elisabeth.|0111
|Elisabeth, den hellige, af Schönau, (c.1129-1164)|0111
|Elisabeth, den hellige, Landgrevinde af Thüringen, (1207-1231)|0112
|Elisabeth, Grevinde af Holsten, 1361 af Brødre trolovet med Magnus Smek's Søn Haakon|0112
|Elisabeth, Hertuginde af Slesvig, (o.1400)|0112
|Elisabeth, Dronning af England (1558-1603), (1533-1603)|0112-0114
|Elisabeth, Philippine Marie Helene af Frankrig, (1764-1794)|0114-0115
|Elisabeth, Kejserinde af Østerrig, Dronning af Ungarn, (1837-1898)|0115
|Elisabeth, Kurfyrstinde af Brandenburg, (1485-1555)|0115
|Elisabeth (Isabella), Christian II's Dronning, (1501-1526)|0115-0116
|Elisabeth af Valois, sp. Dronning (1545-68)|0116
|Elisabeth Augusta, (1623-1677), Datter af Christian IV og Kirstine Munk|0116
|Elisabeth Charlotte (»Liselotte«), Hertuginde af Orléans, (1652-1722)|0116
|Elisabeth Christine, preussisk Dronning (1715-97)|0116
|Elisabeth Farnese, Dronning af Spanien (1692-1766)|0116-0117
|Elisabeth Ludovika, Dronning af Preussen, (1801-73)|0117
|Elisabeth Ottilie Luise, Dronning af Rumænien, Digterinde under Pseudonymet Carmen Sylva, (1843-1916)|0117
|Elisabeth Petrovna, (1709-62), Kejserinde af Rusland (1741-62)|0117-0118
|Elisabeth Stuart, engelsk Prinsesse, Dronning af Böhmen, (1596-1662)|0118
|Elisabetpol, se Jelissavet-Pol.|0118
|Elisha ben Abuja, (f.70 e.Kr.-(?)) Lovlærer|0118
|Elision, i Grammatikken: lydligt Fænomen, der bestaar i, at den første af 2 sammenstødende Vokaler (se Hiatus) falder bort|0118-0119
|Eliske Skole stiftedes af Sokrates' Discipel Phaidon fra Elis|0119
|Elisma, se Vandranke.|0119
|Elissa, se Dido.|0119
|Elite (fr. elite), Udvalg; betegner i Alm. de af udvalgte Folk dannede Troppeafdelinger|0119
|Eliv, Jarl i Sønderjylland, var en af de første Danskere|0119
|Elivaage (*c: Uvejrstrømme), i nord. Gudedigtning: det Hav ell. den Flod, der skilte Jætternes Land lfra den øvrige Verden|0119
|Elizabeth, |0119
|1) By i U. S. A., Stat New Jersey, ligger 15 km SV. f. New York ved Newarkbay og Staten Island Sund.|0119
|2) By i U. S. A., Stat North Carolina, ligger 230 km ØNØ. f. Raleigh og 20 km N. f. Albemarle Sound ved Dismal-Swamp-Kanalen|0119
|Elizondo By i det nordl. Spanien, Prov. Navarra, 45 km NNØ. f. Pamplona|0119
|Eliæ, P., se Helgesen.|0119
|Eljada, »Gud kender«, i den andetsteds bevarede, vistnok oprindelige Form Be'el-jada »Ba'al kender«, en af David's Sønner|0119
|Eljakim, »Gud oprejser«, |0119
|1) Hizkia's Slotshøvedsmand|0119
|2) Andet Navn for Jojakim, Josia's Søn.|0119
|Eljasib, egl. Eljashib, »Gud genopretter«, Ypperstepræst i Juda paa Nehemia's Tid,|0119
|Éljen (ung.), Hurra, Leve!|0119
|Eljudne, Hel's Sal, Dødningeboligen (Navnet kendes kun i middelalderlig Litt.).|0119
|Elkan, Sophie, f. Salomon, sv. Forfatterinde, (1853- )|0119-0120
|Elkanan, en Efraimit, Samuel's Fader.|0120
|El Katar, tyrk. Halvø paa Arabiens Østkyst mellem Barhein Bugten og Bahr el Benat Bugten|0120
|Elkesaiter ell. Elchasæere er en jødisk Sekt, som omkr. 100 e. Kr. blev stiftet i det nordlige Palæstina ell. Syrien|0120
|Elkhart, By i U. S. A., Stat Indiana, ligger ved St Joseph River|0120
|Elkin, William Lewis, amer. Astronom, (1855- )|0120
|Elkins, Stephan Benton, nordamerikansk Politiker, (1841-1911)|0120
|Elk Mountains, Bjergstrøg i Rocky Mountains i U. S. A., Stat Colorado|0120
|El Kosch, se Kosch.|0120
|Elk-River, se Athabasca.|0120
|Elkton, By i U. S. A., Stat Maryland, ligger 75 km SV. f. Filadelfia ved Elk River|0120
|Elkær, Sønder-, Hovedgaard i Kær Herred N. f. Nørre Sundby|0120-0121
|Ell, eng. Længdemaal (Alen), anvendes ved nogle Slags vævede Stoffer|0121
|Ella (Ælla) var en angelsachsisk Høvding, Konge i Northumberland (862-867)|0121
|Ellagit, et gulligt ell. brunligt Zeolit-Mineral fra Ålands-Øerne, Finland|0121
|Ellagsyre, C14H6O8, enbasisk Syre af den aromatiske Række, henhørende til Garvestoffernes Gruppe|0121
|Eliand, Fabriksby i det nordlige England. Yorkshire, ved Calder, 4 km S. f. Halifax|0121
|Ellasar, Kong Ariok's Stad, hvis Hersker sammen med 3 andre angreb Abraham|0121
|Ellefolk, Ellehøj o. s. v., se Elverfolk.|0121
|Ellehammer, Jakob Christian Hansen dansk Opfinder, (1871- )|0121
|Elleholm, Sogn i Blekinge omkr. Mörrumsaaens Udløb, 6 km V. f. Karlshamn|0121
|Ellekilde, Hans, (1891- ) dansk Folkemindeforsker|0121
|Ellekrage, se Ællekrage.|0121
|Ellemands-Bjerget, det højeste Punkt paa Halvøen Helgenæs, Udløberen af Mols|0121
|Ellen, Elline og i skaansk og bornholmsk Form Elna, sv. Elin, norsk Eli, nordisk Kvindenavn|0121
|Ellenborough, |0121
|1) Edward Law, Baron, eng. Jurist, (1750-1818)|0121
|2) Hans Søn af s. N.,(1790-1871) Medlem af Underhuset og Peer|0121-0122
|Eller, Fabrikflække i Preussen, Rhin-Provinsen, 6 km SØ. f. Düsseldorf|0122
|Eller, Elias, tysk, religiøs Sværmer, Stifter af den E.'ske ell. Ronsdorf-Sekten, (1690-1750)|0122
|Ellerbeck, Landsby i Kongeriget Preussen, Prov. Schleswig-Holstein, ved Kiel-Bugten|0122
|Ellermann, Vilhelm, dansk Læge, (1871- )|0122
|Ellerske Sekt, se Eller.|0122
|Ellery, Robert Lewis John, eng. Astronom, (1827-1908)|0122-0123
|elleskudt, ellevild, se Elverfolk.|0123
|Ellesmere, By i det vestlige England, Shropshire, ligger smukt ved den lille Sø E. og ved E.-Kanalen|0123
|Ellesmere, Francis Egerton, Jarl (1800-57)|0123
|Ellesmereland, hele den store Polarø, der ligger NV. f. Grønland, hvorfra den er skilt ved Smith's Sound|0123
|Elleveprøve tjener til at undersøge, om en Multiplikation af to Tal er udført rigtig|0123
|Elleøre, lille Ø i Roskilde Fjord 2 Sm. N. f. Roskilde.                                               |0123
|Ellice, Edward, eng. Politiker (1781-1863)|0123
|Ellice-Øerne ell. Lagune-Øerne, en Gruppe af Koraløer i det store Ocean N. f. Fidji-Øerne|0123
|Ellichpur, By i de indobritiske Centralprovinser, ligger ved Parna, et af Tapti-Flodens Tilløb|0123
|Ellide, Frithiofs Skib og allerede tidligere kendt som digterisk ell. sagnhistorisk Skibsnavn.|0123
|Elling, Catharinus, norsk Komponist, (1858- )|0123-0124
|Ellinger, Heinrich Oscar Günther, dansk Fysiker og Politiker, (1857- )|0124
|Ellinggaard i Onsø Herred, Smaalenenes Amt, er en af Norges ældste adelige Sædegaarde|0124
|Elliot, Celeste, eng. Danserinde og Skuespillerinde, (1814-1882)|0124
|Elliot, Charles Loring, amer. Portrætmaler, (1812-1868)|0124
|Elliot, Charles, Sir, eng. Admiral, (1801-1875)|0124-0125
|Elliot, George, Sir, eng. Admiral, (1784-1863)|0125
|Elliot, George Augustus, eng. General, (1718-1790)|0125
|Elliot, Henry George, Sir, eng. Diplomat (1817-1907)|0125
|Elliot, Henry Miers, Sir, eng. Historieskriver, (1808-1853)|0125
|Elliot, Hugh, eng. Diplomat (1752-1830)|0125
|Elliott, Ebenezer, engelsk Digter (1781-1849)|0125-0126
|Ellipse (mat.), en af de under Navnet Keglesnit kendte Kurver|0126
|Ellipse (gr.) betegner i Sprogvidenskaben Udeladelse af et tilsyneladende uundværligt Element|0126
|Ellipsestyring skal ved et System af Stænger, styre et Punkt saaledes, at det kun kan bevæge sig i en ret Linie|0126-0127
|Ellipsograf, et Apparat til kontinuerlig Beskrivelse af en Ellipse|0127
|Ellipsoide (mat.) er den af de saakaldte Keglesnitsflader, i hvilken alle plane Snit er Ellipser|0127
|elliptiske Funktioner (mat.)|0127
|elliptisk Polarisation, se Polarisation.|0127
|Ellis, Alexander John, eng. Videnskabsmand, (1814-1890)|0127-0128
|Ellis, Havelock, eng. Essayist, (1859- )|0128
|Ellis, Robinson, eng. Filolog, (1834-1913)|0128
|Ellisiv (Elisabeth), ægtede c. 1045 Harald Haardraade|0128
|Ellora, indisk By, af de Indfødte kaldet Elura ell. Velur(e)|0128
|Ellore , se Eluru.|0128
|Ellsworth, By i U. S. A., Stat Maine, ligger 125 km ØNØ. f. Augusta paa begge Bredder af Union River|0128
|Ellwangen, By i Kongeriget Württemberg, ligger i en smuk Dal ved Neckars Biflod Jagst|0128-0129
|Elm, Landsby i Schweiz, Kanton Glarus|0129
|El-Maabed, se Amrit.|0129
|Elmacin, Djirdjis, i Orienten bekendt under Navnet Ibn-al-Amid, (1205-1273)|0129
|Elmalu, By i Lilleasien, i det tyrk. Vilajet Adalia|0129
|Elman, Misha, russ. Violinist, (1892- )|0129
|Elmanistas kaldtes en Gruppe af portug. Digtere i Slutn. af 18. Aarh.|0129
|Elmblad, Johannes Vilhelm Samuel, sv. Operasanger (Bas), (1853-1910)|0129
|Elmblad, Per Magnus, sv. Skolemand og Præst, (1806-87)|0129
|Elmen, Landsby og Badested ved Elben i den preuss. Prov. Sachsen. 18 km fra Magdeburg|0129
|Elmgaard, Hans Bertel Marius, dansk Forf., (1861-1894)|0129
|Elmgren, Sven Gabriel, finsk Bibliotekar og Forfatter, (1817-1897)|0129-0130
|Elmina, Sâo Jorge da Mina, Havnestad ved Guinea-Bugten i den britiske Koloni Guldkysten|0130
|Elmira, By i U. S. A., Stat New York, ligger ved en Biflod til Susquehannah River|0130
|Elmira Reformatory, Tvangsopdragelsesanstalt ved ovenn. Elmira, oprettet 1870|0130
|Elmore, Alfred, irsk Historiemaler, (1815-1881)|0130
|Elmore's Malmkoncentrationsmetode, se Malm koncentration.|0130
|Elmquist, Gustaf Henning, sv. Socialøkonom og Administrator, (1871- )|0130-0131
|Elmquist, Karl Magnus Hugo, svensk Billedhugger, (1862- )|0131
|Elmqvist, Adolph Frederik, dansk Boghandler og Litterat, (1788-1868)|0131
