# salmonsen/2/8/Articles.lst
#
index|Titel og indhold|0001 0003 0005
|Filarmikrometer|0027
|Filateli|0027
|Filatow-Dukes'ske Sygdom|0027
|Filatormaskine|0027
|Fildes|0027-0028
|file|0028
|Fileas|0028
|Filebænk|0028
|Filed|0028
|Filefjæld|0028
|Filehne|0028
|Filehugger|0028
|Fileklo|0028
|Filelfo|0028
|Filemaskine|0028
|Filemon|0028
|Filemon|0028
|Filemon|0028
|filere|0028
|Filet|0028-0029
|Filetairos|0029
|Filetas|0029
|Fileværket|0029
|Filey|0029
|filharmonisk|0029
|Filhellenere|0029
|Filhol|0029
|Filhol|0029
|fllia|0029
|Filial|0029
|Filialkirke|0029
|Filialmenighed|0029
|Filiation|0029
|Filiationsklage|0029
|Filibe|0029
|Filicaja|0029
|Filices|0030
|Filicltes|0030
|Filicuri|0030
|filiform|0030
|Filigran|0030
|Filigranglas|0030
|Filigranpapir|0031
|Filioque|0031
|Filip|0031
|Filip|0031
|Filip|0031-0032
|Filip|0032
|Filip I|0032
|Filip II August|0032
|Filip III|0032-0033
|Filip IV|0033-0034
|Filip V|0034
|Filip VI|0034-0035
|Filip I|0035
|Filip II|0035
|Filip I|0035-0036
|Filip II|0036-0037
|Filip III|0037
|Filip IV|0037-0038
|Filip V|0038
|Filip I-II|0038
|Filip|0038
|Filip|0038-0039
|Filip|0039
|Filipens|0039
|Filipepi|0039
|Filippa|0039
|Filippa af Hainaut|0039
|Filippenserbrevet|0039-0040
|Filippides|0040
|Filippika|0040
|Filippine|0040
|Filippinerne|0040-0042
|Filippister|0042
|Filippium|0042
|Filippo|0042
|Filippoi|0042
|Filipponer|0042
|Fillppos|0042
|Filippus|0042
|Filipstad|0042
|Filister|0042
|Filistos|0042
|Filistre|0042
|filistrøs|0042
|Filistæer|0042-0043
|filius|0043
|filiusfamllias|0043
|Filius Sct. Petri|0043
|Fillan|0043-0044
|Filler|0044
|Fillingmaskine|0044
|Fillipsit|0044
|Fillis|0044
|Fillmore|0044
|Fillowit|0044
|Fillyrin|0044
|Films|0044-0046
|Filochoros|0046
|Filodemos|0046-0047
|Filoktetes|0047
|Filolaos|0047
|Filolog|0047
|Filologi|0047
|filologisk Eksamen|0047
|filologisk-historiske Samfund, Det|0047-0048
|Filomele|0048
|Filomusehetæri|0048
|Filon|0048
|Filon|0048-0049
|Filon, Charles Auguste Désiré|0049
|Filopoimen (Philopoemen)|0049
|Filoselle|0049
|Filosoffen fra Sanssouci|0049
|Filosofi|0049-0056
|Filosofikum|0056
|filosofisk Grammatik|0056
|filosofisk Merkur|0056
|filosofisk Svovl|0056
|Filostratos|0056
|Filotas|0056
|Filotion|0056
|Filoxenos|0056-0057
|Filoxeons (Xenaias)|0057
|Fil Sø|0057
|Filt|0057
|Filter|0057
|Filterpresse|0057
|filtet|0057
|Filtfabrikation|0057
|Filtgarn|0057
|Filthat|0057
|Filtklæde|0057
|Filtmalt|0057
|Filtmaskine, Filtmølle|0057
|Filtrat|0057
|filtrerbare Mikrober|0057
|filtrere|0057-0059
|Filtrerklæde|0059
|Filtrerpapir|0059
|Filtron|0059
|Filtsning|0059
|Filtvet|0059
|Filur|0059
|Filæ|0059-0060
|Filænerne|0060
|Fimbria|0060
|Fimbria, Gajus Flavius|0060
|Fimbultyr|0060
|Fimul-Vinter|0060
|Fimosis|0060
|Fimreceller|0060-0061
|Fimrehaar|0061
|Fimreite|0061
|Fimreorme, Planarier|0061
|Finale|0061
|Finale Marina|0061
|Finale nell' Emilia|0061-0062
|Finali, Gaspare|0062
|Finalis|0062
|financial trust|0062
|financier|0062
|Finansaar|0062
|Finansdepartement|0062
|Finansdeputationen|0062
|Finanser|0062
|Finansforvaltning|0062
|Finanshovedkassen|0062
|finansiel|0062
|Finanskassedirektionen|0062
|Finanskollegiet|0062
|Finanskontrol|0062-0063
|Finanslov|0063-0064
|Finansministerium|0064-0065
|Finansmonopol|0065
|Finansoperationer|0065
|Finansperiode|0065
|Finanspolitik|0065
|Finansregale|0065
|Finansret|0065
|Finansselskaber|0065
|Finanstold|0065-0066
|Finansudvalg|0066
|Finansvidenskab|0066-0069
|Finansvæsen|0069-0072
|Finbankere|0072
|Finboge|0072
|Finbrænding|0072
|Finch|0072
|Finch|0072
|Finchley|0072
|Finck|0072
|Finck|0072
|Fincke|0072-0073
|Fincke|0073
|Find|0073
|Finddale|0073
|Findeisen|0073
|Findel|0073
|Findeløn|0073
|Finderup|0073
|fin de siècle|0073-0074
|Findhorn|0074
|Findlay|0074
|Findstrup|0074
|fine|0074
|Fine, de|0074
|Finelli|0074
|Finering|0074
|Finermaskine|0074
|fines herbes|0074
|Finesse|0074
|Fineus|0074
|Finfisk|0074
|Fingal|0074
|Fingalshulen|0074-0075
|Finger|0075
|Fingeraftryk|0075
|Fingeraks|0075-0076
|Fingeralfabet|0076
|Fingerbetændelse|0076
|Fingerbjælke|0076
|Fingerbøl|0076
|Fingerbøl|0076
|Fingerbølblade|0076
|Fingerdyr|0076
|fingere|0076
|fingeret Regning|0076
|Fingersætning|0076
|Fingo|0076
|Fingre|0076-0077
|fingret|0077
|Finhed|0077
|Finhedskoefficient|0077
|Finholdighed|0077-0078
|Finhvaler|0078-0080
|Finiguerra|0080
|finis|0080
|finis Poloniæ|0080
|Finissage|0080
|Finistère|0080-0081
|Finisterre, Cabo de|0081
|finitum|0081
|Finjord|0081
|Fink|0081
|Finke, Heinrich|0081
|Finkel|0081
|Finkenet|0081
|Finkenstein, Karl Wilhelm Grev Fink v.|0081
|Finkenwärder|0081
|Finker|0081
|Finker|0081-0082
|Finkirker|0082
|Finknæerne|0082
|Fin Kong Kjeilen|0082
|Finkornsjern, se Svejsejern|0082
|Finland|0082-0117
|Finlay, George|0117
|Finlierne|0117
|Finmarkens Amt|0117-0119
|Finmarkspors|0119
|Finn|0119
|Finnaas, Herred|0119
|Finn Arnessøn|0119
|Finnbogasaga|0119
|Finn Cumalssön|0119
|Finne|0119
|Finne, Edvard Gabriel|0119-0120
|Finnedal|0120
|Finne-Grønn|0120
|Finnemission|0120
|Finner|0120
|Finner|0120
|Finneskæg|0120
|finnet|0120
|Finnø|0120
|Finow|0121
|Finprøve|0121
|Finsbury|0121
|Finsch, Otto|0121
|Finse|0121
|Finsen|0121
|Finsen, Hannes|0121
|Finsen, Niels Ryberg|0121-0123
|Finsen, Søren Hilmar Steindór|0123
|Finsen, Vilhjálmur Ludvig|0123-0124
|Finska Folkskolans Vänner|0124
|Finska Fornminnesföreningen|0124
|Finska Vetenskapssocieteten|0124
|Finske Bugt|0124
|finske Sprog|0124
|Finsk historisk Samfund|0124
|Finsk Husholdningsselskab|0124
|Finsk Litteraturselskab|0124
|Finskogen|0124-0125
|Finskrue|0125
|Finsk Tidskrift|0125
|finsk Tjære|0125
|finsk-ugriske Selskab|0125
|finsk-ugriske Sprog|0125-0126
|Finsland|0126
|Finspång|0126-0127
|Finsteraarhorn|0127
|Finstermünz|0127
|Finsterwalde|0127
|Finte|0127
|Fintias|0127
|fint Korn|0127
|Finvægt|0127
|Fiolblok|0127
|Fiole|0127
|Fionia|0127
|Fioravanti|0127
|Fiore, Jacobello del|0127
|Fiore, Pasquale|0127-0128
|Fiorelli|0128
|Fiorentino|0128
|Fiorenzuola d'Arda|0128
|Fiorillo, Federigo|0128
|Fiorillo, Johann Dominik|0128
|Fioringræs|0128
|Fiorini|0128
|Fiorino|0128
|Fioritur|0128
|Fioroni|0128
|Fiquet|0128
|Firan|0128
|Firben|0128-0130
|Firblad|0130
|Fircks|0130
|Firdafylke|0130
|Firdausi|0130
|firdelt Skjold|0130
|firdobbelt Klorkulstof|0130
|firdobbelt Klorsvovl|0130
|Firdusi|0130
|fire|0130
|Fireclay Varer|0130
|Firegangshane|0130
|Firemaster|0130-0131
|Firenki|0131
|Firenze|0131-0132 0134-0139
|Firenzuola, Agnolo|0139
|Firer|0139
|fire-test|0139
|Firevers|0139
|Firgællede|0139
|firhugget|0139
|firhændig|0139
|Firhøjene|0139
|Firischta|0139
|Firkant|0139
|firkant|0139
|Firkantstal|0139
|Firkin|0139
|Firklang|0139
|Firkløft|0139
|Firkløver|0139
|firkløvet|0139
|Firle|0139-0140
|Firling|0140
|Firling|0140
|Firma|0140
|Firmament|0140
|Firmân|0140
|Firmelse|0140
|Firmicus Maternus|0140-0141
|Firmilianos|0141
|Firmin Didot|0141
|Firminy|0141
|firmægtig|0141
|Firozpur|0141
|Firpas|0141
|firskaaret|0141
|Firspand|0141
|firstrøget|0141
|Firtand|0141
|Firth|0141
|Firth|0141
|Firuzabad|0141
|Firuzabadi|0141
|Firuzpur|0141
|Firøje|0141
|Firøje|0141
|Fis|0141
|Fischart|0141-0142
|Fischeln|0142
|Fischer, Abraham|0142
|Fischer, Emil|0142
|Fischer, Ernst Kuno Berthold|0142
|Fischer, Ferdinand August|0142
|Fischer, Frederik|0142-0143
|Fischer, Gustaf Adolf|0143
|Fischer, Hans Christian|0143
|Fischer, Johan Christian Henrik|0143-0144
|Fischer, Johan Frederik|0144
|Fischer, Johann Martin|0144
|Fischer, Johan Olfert|0144
|Fischer|0144-0145
|Fischer, Karl Kristian Emil|0145
|Fischer, Leopold Heinrich|0145
|Fischer, Paul Henri|0145
|Fischer, Peter Frederik Vilhelm|0145
|Fischer, Robert|0145
|Fischer, S|0145
|Fischer, Theobald|0145
|Fischer, Vilhelm Theodor|0145-0146
|Fischerlt|0146
|Fischer von Erlach|0146
|Fischhof, Adolf|0146
|Fischhof, Sigrid Arnoldsson-|0146
|Fiscus|0146
|Fis-Dur|0146
|Fisetin, Fisetinsyre|0146
|Fisettræ|0146-0147
|Fish, Hamilton|0147
|Fisher, Andrew|0147
|Fisher, Herbert Albert Laurens|0147
|Fisher, Irving|0147
|Fisher, John Arbuthnot|0147-0148
|Fisher, John (Johannes Roffensis)|0148
|fishgut|0148
|Fishkill Landing|0148
|Fisk|0148-0161
|Fisk (symbolisk)|0161
|Fisk (astron.)|0161
|Fisk (Søv.)|0161
|Fisk (af det tyske Zwiebelfisch)|0161
|Fisk, islandsk Maal|0161
|Fiskal|0161
|Fiskarius|0161
|fiske (Søv.)|0161
|Fiske, Daniel Willard|0161-0162
|Fiskeand|0162
|Fiskeavl|0162-0165
|Fiskebanker|0165
|Fiskeben|0165
|Fiskebjørn|0165
|Fiskeblære|0165
|Fiskeblære|0165
|Fiskebugt, Fish Bai, Great and Little F.|0165
|Fiskebäckskil|0165
|Fiskedam|0165
|Fiskefjender|0165-0166
|Fiskefjord|0166
|Fiskeflod, Store|0166
|Fiskegaard|0166
|Fiskegift. Fisk kan fremkalde Forgiftningstilfælde|0166
|Fiskegift benyttes af forsk. uciviliserede Folkeslag|0166
|Fiskegrube|0166
|Fiskeguano|0166
|Fiskehandel|0167
|Fiskehejre|0167
|Fiskehud|0167
|Fiskehøg|0167
|Fiskeigle|0167
|Fiskeonger|0167
|Fiskekonservering|0167-0169
|Fiskekroge|0169
|Fiskeler|0169
|Fiskelim|0169
|Fiskelus|0169
|Fiskemaaned|0169
|Fiskemel|0169
|Fiskemester|0169
|Fiskemælk|0169
|Fiskene (Pisces)|0169
|Fiskeodder|0169
|Fiskeolie|0169
|Fiskepadder|0169
|Fiskepark|0169
|Fiskeperioder|0169-0170
|Fisker|0170
|Fisker, Lorents Henrik|0170
|Fiskeredskaber|0170-0175
|Fiskefartøj|0175-0176
|Fiskerhøjskole|0176
|Fiskeri|0176-0183
|Fiskeri|0183
|Fiskeriadministration|0183
|Fiskerianlæg|0183
|Fiskeribeskyttelse|0183
|Fiskeriejer|0183
|Fiskerielev|0183
|Fiskeriforening|0183
|Fiskerilovgivning|0183-0185
|Fiskering, se annulus|0185
|Fiskeriraad|0185
|Fiskeriregulativ|0185
|Fiskeritraktater|0185
|Fiskeriundersøgelser|0185-0186
|Fiskernæs|0186
|Fiskerogn|0186
|Fiskerskoler|0186
|Fiskeskind|0186
|Fiskeskipper|0186
|Fiskeskipperprøven|0186
|Fiskeskæl|0186-0187
|Fiskeskælsygdom|0187
|Fiskestadehartkorn|0187
|Fiskestang|0187
|Fiskesygdomme|0187-0188
|Fisketiende|0188
|Fisketran|0188
|Fisketransport|0188
|Fisketrappe|0188-0189
|Fiskeæg|0189
|Fiskeøgler|0189
|Fiskeøjesten|0189
|Fiskeørn|0189
|Fiskivötn|0189-0190
|Fiskur|0190
|Fiskus|0190
|Fis-Mol|0190
|fissil|0190
|Fissilinguia|0190
|Fissobranchiata|0190
|Fissur|0190
|Fissura Sylvii|0190
|Fissurellidæ|0190
|Fistaine, Gustav Christian Jacob Pierre Nestor|0190-0191
|Fistel|0191
|Fistelstemme|0191
|Fister|0191
|Fistula|0191
|Fistula|0191
|Fistularia|0191
|Fistulina|0191
|Fistulipora|0191
|fit|0191
|Fitchburg|0191
|Fitero|0191
|Fitger|0191-0192
|Fitjar|0192
|Fittig|0192
|Fitting|0192-0193
|Fittings|0193-0195
|Fittonia|0195
|Fittri|0195
|Fitz|0195
|Fitzalan|0195
|Fitzgerald|0195
|Fitzgerald, Edward|0195-0196
|Fitzgerald, Percy Hethrington|0196
|Fitzhardinge|0196
|Fitzherbert, Mary Anne|0196
|Fitzjames, Edward|0196
|Fitzmaurice|0196
|Fitzmaurice, Edmond|0196
|Fitzmaurice-Kelly, James|0196-0197
|Fitzpatrick, James Percy|0197
|Fitzpatrick, William John|0197
|Fitzroy|0197
|Fitzroy|0197
|Fitzroy, Robert|0197
|Fitzwilliam|0197
|Fiume|0197-0198
|Fiume|0198
|Fiumicino|0198
|Five, Ole Olsen|0198
|five o'clock tea|0198
|fixa vincta|0198
|Fixtænding|0198
|fixum|0198
|Fizeau, Armand Hippolyte Louis|0198
|Fjalar|0198-0199
|Fjallabaksvegur|0199
|fjallganga|0199
|Fjand|0199
|fjármark|0199
|Fjeder|0199
|Fjeder|0199
|Fjederhaardhed|0199
|Fjederhage|0199-0200
|Fjederham|0200
|Fjederhammer|0200
|Fjederhus|0200
|Fjedermotor|0200
|Fjederophængning|0200
|Fjederpasser|0200
|Fjedertandsharve|0200
|Fjedertang|0201
|Fjederur|0201
|Fjedervægt|0201
|Fjelberg|0201
|Fjeld|0201
|Fjeld Herred|0201
|Fjeldbrisk|0201
|Fjelddue|0201
|Fjelde, Jacob|0201
|Fjeldflok|0201
|Fjeldflokfamilien|0201
|Fjeldfras|0201
|Fjeldgaas|0201
|Fjeldgrævling|0201-0202
|Fjeldhare|0202
|Fjeldmo|0202
|Fjeldpryd|0202
|Fjeldprydfamilien|0202
|Fjeldrose|0202
|Fjeldrype|0202
|Fjeldsimmer|0202
|Fjeldstavn|0202
|Fjeldsted, C. V.|0202
|Fjeldstuer|0202-0203
|Fjeldsyre|0203
|Fjeldsæter|0203
|Fjeldørred|0203
|Fjellebro|0203
|Fjellstedt, Peter|0203
|Fjelstrup, Peter Julius|0203-0204
|Fjelstrup, Søren August|0204
|Fjends|0204
|fjendtlige Handlinger|0204
|fjendtlig Ejendom|0204-0205
|Fjenneslevlille|0205-0206
|Fjer|0206-0207
|Fjeralun|0207
|Fjerblomster|0207
|Fjerbold|0207
|Fjerbregne|0207-0208
|Fjerbusk|0208
|fjerde Dimension|0208
|fjerdelt|0208
|Fjerde Parti|0208
|fjerde Stand|0208
|fjerde Sygdom|0208
|Fjerding|0208
|Fjerding|0208
|Fjerdingkar|0208
|Fjerdingsfyrste|0208
|Fjerdingskirke|0208
|Fjerdingsmand|0208
|Fjerdingvej|0208
|fjere Vildt af|0208
|fjerfliget|0208
|Fjergræs|0208
|Fjerham|0208
|Fjerkræ og Fjerkræavl|0208-0211
|Fjerkræsygdomme|0211-0213
|Fjerlapper|0213
|fjerlappet|0213
|Fjerlus|0213
|Fjermalm|0213
|fjermer|0213
|Fjermøl|0213
|Fjernellike|0213
|fjernervet|0213
|Fjernfotografering|0213
|Fjerngasanlæg|0213
|Fjernsyn|0213
|Fjerntænding|0213
|Fjerpenne|0213
|Fjerpolypper|0213
|fjerribbet|0213
|Fjerritslev|0213
|Fjerskifte|0213
|Fjerskyer|0213
|fjersnitdelt|0213
|Fjerstjerner|0213-0215
|Fjerulk|0215
|Fjervildt|0215
|Fjervinger|0215
|Fjervægt|0215
|Fjesk|0215
|Fjong|0215
|Fjord|0215-0216
|Fjord, Niels Johannes|0216-0217
|Fjordene|0217
|Fjordheste|0217
|Fjordsæl|0217
|Fjórðungaþing|0217
|Fjórðungr|0217
|Fjórðungsdómr|0217
|Fjotland|0217
|Fjæld|0217
|Fjære|0217
|Fjære|0217
|Fjærepist|0217
|Fjærland|0217-0218
|Fjæsing|0218
|Fjæsingfisk|0218
|Fjæstad, Gustaf Adolf|0218-0219
|Fjølne|0219
|Fjölnir|0219
|Fjölsvinnsmál|0219
|Fjörbaugsgarðr|0219
|Fjörgyn|0219
|Fjörsunger|0219
|Fjörsvartne|0219
|Fjörtoft, Olaves Johannes|0219-0220
|Fjøs|0220
|f. Kr.|0220
|Fl.|0220
|Fl.|0220
|Fla.|0220
|f. l. a.|0220
|Flaa|0220
|Flaa|0220
|Flaad|0220
|Flaad|0220
|Flaade|0220-0221
|Flaadeadmiral|0221
|Flaadeforening|0221
|Flaadehavn|0221
|Flaadeinspektør|0221
|Flaadens Stab|0221
|Flaadestation|0221
|Flaadholt|0221
|Flaadning|0221
|Flaat|0221
|Flaccus|0221
|Flachat, Eugène|0221-0222
|flacherie|0222
|Flacius|0222
|Flacon|0222
|Flacourtia|0222
|Flacourtiaceæ|0222
|Fladager, Ole Henriksen|0222
|Fladaks|0222
|Fladbaneskyts|0222
|Fladbrød|0222
|Fladbue|0222
|Fladbælg|0222-0223
|Fladdermine|0223
|Flade|0223
|Flade|0223
|Fladeindhold|0223
|Flademaal|0223
|Flademaleri|0223
|Fladen|0223
|Flade og Ørum Søer|0223-0224
|Fladeornament|0224
|Flade Præstehøj|0224
|Fladfisk|0224
|Fladis|0224
|Fladjern|0224
|fladkravet|0224
|Fladkultur|0224
|Fladkyst|0224
|Fladlus|0224
|Fladløb|0224
|Fladorme|0224
|Fladribbethed|0224-0225
|Fladskud|0225
|Fladstjerne|0225
|Fladstrand|0225
|Fladsyning|0225
|Fladsø|0225
|Fladtryk|0225
|Fladtrykning|0225
|Flag|0225-0226 0228
|Flagadjutant|0228
|Flagdug|0228
|flage|0228
|Flagellanter|0228
|Flagellater|0228-0233
|Flagellation|0233
|Flageolet|0233
|Flageolettoner|0233
|Flagermus|0233-0236
|Flagermusbrænder|0236
|Flagermusguano|0236
|Flagermuspapegøjer|0236
|Flagfald|0236
|Flaggerguld|0236
|Flagkaptajn|0236
|Flagline|0237
|Flagmand|0237
|flagrant|0237
|Flagreegern|0237
|Flagrepungaber|0237
|Flagskib|0237
|Flagspil|0237
|Flagspætte|0237
|Flagstang|0237
|Flagstriden|0237
|Flagunderofficer|0237
|Flagy, Jehan de|0237
|Flahault, Charles Henri Marie|0237
|Flahault de la Billarderie, Auguste Charles Joseph|0237
|flaireur|0237
|Flaischlen, Cäsar|0237
|Flak|0237
|flakes|0237
|Flakkebjerg|0237-0238
|Flakkebjerg, Vester-|0238
|Flakkebjerg, Øster-|0238
|Flakon|0238
|Flakstad|0238
|flakt Ørn|0238
|Flamand [fla'mang], A|0238
|Flamand, Ludvig Josef|0238
|Flamberger|0238-0239
|Flambering|0239
|Flamborough Head|0239
|Flamboyant|0239
|flamen|0239
|Flamen, Albert|0239
|Flameng, François|0239
|Flameng, Leopold|0239
|Flameng, Marie Auguste|0239
|flamines|0239
|Flamingo|0239-0240
|flaminica|0240
|Flamininus, Titus Quinctius|0240
|Flaminius, Gajus|0240-0241
|Flamlænder|0241
|Flammarion, Camille|0241
|Flamme|0241-0242
|flammede|0242
|Flammekasteren|0242
|Flammeovn|0242
|Flammermont, Jules|0242
|flammesikkert|0242
|Flammestil|0242
|flammet Tøj|0242
|flammet Ved|0242
|flammula|0242
|flamsk Bevægelse|0242-0243
|flamsk Kunst|0243
|Flamsteed [rf£ämsti.d], John|0243-0244
|Flan|0244
|Flandern|0244-0245
|Flandern|0245
|flander'ske Skole|0245
|flandersk Kvæg|0245
|Flandin, Eugène Napoleon|0245
|Flandres, au lion!|0245
|Flandrin, Jean Hippolyte|0245-0246
|Flanel|0246
|flanere|0246
|Flange|0246
|Flange|0246
|Flanke|0246
|Flanke|0246
|Flanke|0246
|Flankebatteri|0246
|Flankemarch|0246
|flankere|0246-0247
|Flankering|0247
|Flankestilling|0247
|Flankonade|0247
|Flankør|0247
|Flannan Islands|0247
|Flaske|0247
|Flaske, Leydner|0247
|Flaskebarn|0247
|Flaskeelement|0247
|Flaskefabrikation|0247
|Flaskefyldningsmaskine|0247
|Flaskegræskar|0247
|Flaskekapsler|0247
|Flaskelak|0247
|Flaskeovn|0247
|Flaskepost|0247
|Flaskeproppemaskine|0247
|Flasker|0247-0248
|Flaskerensning|0248
|Flasketraad|0248
|Flasketrøje|0248
|flat|0248
|Flatanger|0248-0249
|Flatau, Theodor Simon|0249
|Flatbush|0249
|Flateby|0249
|Flatey|0249
|Flathe, Heinrich Theodor|0249
|Flathead River|0249
|Flatheads|0249
|Flatholm|0249
|Flatow|0249
|flat races|0249
|flattere|0249
|Flatters, Paul François Xavier|0249
|Flattich, Johann Friedrich|0249-0250
|Flatulens|0250
|Flatus|0250
|Flatø|0250
|Flatø-Bogen|0250
|Flaubert, Gustave|0250-0251
|Flauenskjold|0251
|flautando|0251
|flauto|0251
|Flavanilin|0251
|Flavaurin|0251
|flavescere|0251
|Flavianus|0251
|Flavier|0251
|Flavin|0251
|Flavinplade|0251
|Flavio-Biondo|0251-0252
|Flaviske Amfiteater|0252
|Flavius|0252
|Flavius Vespasianus|0252
|Flavon|0252
|Flavus|0252
|Flawil|0252
|Flaxman, John|0252-0253
|Fl. dan.|0253
|Flebektasi|0253
|flebile|0253
|Flebltis|0253
|Flebolit|0253
|Flebotoml|0253
|Flêche|0253
|Flêche, La|0253
|Flêche, La|0253
|Fléchier, Esprit|0253
|Flechsig, Paul Emil|0253
|flectamus genua|0253
|flectere si neqveo superos, Acheronta movebo|0253
|Fledføring|0253-0254
|Fleet, John Faithfull|0254
|Fleetwood|0254
|Fleetwood, Charles|0254
|Flegel, Eduard Robert|0254
|Flegethon|0254
|Flegma|0254-0255
|Flegmasi|0255
|Flegmatiker|0255
|flegmatisk|0255
|Flegmone|0255
|flegræiske Marker|0255
|Flegyas|0255
|Flegyere|0255
|Fleischer, Adolf Frederik Hilarius|0255
|Fleischer, Esaias|0255-0256
|Fleischer, Esaias|0256
|Fleischer, Heinrich Leberecht|0256
|Fleischer, Johan Seckmann|0256-0257
|Fleischer, Moritz Anton Hermann|0257
|Fleischer, Oskar|0257
|Fleischer-Edel, Katharina|0257
|Flekkefjord|0257
|Flekkerø|0257
|Fleksion|0257-0258
|Fleksion|0258
|flekterende Sprog|0258
|Flemael (Flémalle), Bertholet|0258-0259
|Flémalle|0259
|Flemhudersø|0259
|Fleming|0259-0261
|Fleming, John Ambrose|0261
|Fleming, Paul|0261
|Fleming, Williamina Paton|0261
|Flemløs, Peder Jakobsen|0261-0262
|Flemløse|0262
|Flemløse-Stenen|0262
|Flemming|0262
|Flemming, Friedrich Ferdinand|0262
|Flemming, Jakob Heinrich von|0262
|Fleninge Sø, se Arreskov Sø|0262
|Flensborg|0262-0265
|Flensborg, Karl Julius|0265
|Flensborg Avis|0265
|Flensburg, Nils Olaf Mattias|0265
|flense (Søv.)|0265
|Flenu|0265
|fleraarig (bot.)|0265
|flerakset (bot.)|0265
|Flerfoldfrugt (bot.)|0265
|Flerfoldfrugtede (Polycarpicæ)|0265-0266
|Flerfoldsvangerskab|0266
|Flerformethed|0266
|Flergangsmaskine|0266
|Flerkoneri|0266
|Flerplanslegeme|0266
|Flers, By i det nordvestlige Frankrig|0266
|Flertal, se Numerus|0266
|Flertal, se Afstemning|0266
|Flesberg, Herred|0266
|Fleskerevet, Stenrev|0266
|Fleskum, Herred i det nordøstlige Nørrejylland|0266-0267
|Flessingen, landløs Grund, NV. f. Fænø, Lille Bælt|0267
|Fletcher, Horace, amer. Fysiolog|0267
|Fletcher, 1) Giles, 2) John, 3) Phineas|0267
|Fletcher, John William, metodistisk Præst og Teolog|0267
|Fletschhorn, 2 Toppe i de penninske Alper|0267
|flette|0267-0268
|Flettemaskine|0268
|Fletværk|0268
|fleur|0268
|Fleurance|0268
|fleur de lis|0268
|Fleurier|0268
|fleuriste|0268
|fleuron|0268
|Fleuron, Svend|0268
|Fleurus|0268
|Fleury, André Hercule|0268-0269
|Fleury, Claude|0269
|Fleury, Émile Felix|0269
|Fleury, Léon|0269
|Fleury, Robert|0269
|Fleury de Chaboulon, Pierre Alexandre Edouard|0269
|Fleury Husson|0269
|Fleury sur Loire, St-Benoit de|0269
|Flevo lacus|0269
|Flexibilitas cerea|0269
|Flexura sigmoidea|0269
|Flibustiers|0270
|Flickel, Paul Franz|0270
|Fliedner, Theodor|0270
|Fliegende Blätter|0270
|fliget|0270
|Fliglæbe|0270
|Flikke|0270
|Flimreskotom|0270-0271
|Flims|0271
|Flinch, Andreas Christian Ferdinand|0271
|Flinders, Matthew|0271
|Flinders, se Fourneaux-Øerne|0271
|Flinders Barre|0271
|Flinders Petrie|0271
|Flinders Range|0271
|Flinders River|0271
|Flindt, A.|0271
|Flindt, Carl Ludvig Henrik|0271
|Flindt, Henry August|0271-0272
|Flindt, Paul|0272
|Flink, Govaert eller Govert|0272
|Flink, Gustaf|0272
|Flinkit|0272
|Flinsberg|0272
|Flint|0272-0273
|Flint, se Flintlaasgevær|0273
|Flint, By i det nordøstlige Wales|0273
|Flint, By i U. S. A.|0273
